org_id,name,url,type,hq_country,hq_city,region,founded_year,size_band,funding_model,primary_focus,focus_tags,problem_description,notable_outputs,status,confidence,source_urls,commercial_model,approachability,source,notes,created_by,reviewed_by,last_verified,human_verified
center-for-ai-safety-cais,Center for AI Safety (CAIS),https://safe.ai,nonprofit-research,US,San Francisco,North America,2022,21-50,philanthropic,"Technical safety research and benchmarks, field-level advocacy",alignment;evals;comms-advocacy,Independent nonprofit conducting technical safety research and benchmarks (e.g. MMLU) and coordinating the Statement on AI Risk.,Statement on AI risk; safety benchmarks,active,high,https://safe.ai,nonprofit,hiring;fellowship-or-programme;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
center-for-an-informed-public-cip-university-of-washington,"Center for an Informed Public (CIP), University of Washington",https://www.cip.uw.edu,academic,US,unknown,North America,unknown,unknown,unknown,,,Academic centre studying AI-generated disinformation and running election-rumour research ahead of the 2026 US midterms.,,active,medium,https://www.cip.uw.edu/,academic,contact-form,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
center-for-democracy-and-technology-cdt,Center for Democracy and Technology (CDT),https://cdt.org,advocacy,US,Washington DC,North America,1994,51-200,philanthropic,Digital rights advocacy with an AI governance team,policy-domestic;comms-advocacy,Digital rights organisation with a dedicated AI governance team advocating for civil-liberties-protective AI regulation.,AI policy reports and regulatory comments,active,high,https://cdt.org,nonprofit,publishes-open-problems;contact-form,seed,,agent-2026-09-21,,2026-09-21,false
center-for-humane-technology,Center for Humane Technology,https://www.humanetech.com,advocacy,unknown,unknown,unknown,unknown,unknown,unknown,,,Supports litigation and policy on companion-chatbot harms.,,active,low,https://www.humanetech.com/,nonprofit,unknown,review-2026-09-23:society,"Created from a review edit (society[91], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
center-for-long-term-cybersecurity-cltc,Center for Long-Term Cybersecurity (CLTC),https://cltc.berkeley.edu,academic,US,Berkeley,North America,2015,6-20,mixed,Long-term cybersecurity research including AI,ai-cyber-offence-defence;forecasting,"Berkeley research centre studying how cybersecurity threats and defences will evolve over the long term, including AI-driven changes.",Cybersecurity futures scenario research,active,high,https://cltc.berkeley.edu,academic,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
center-for-security-and-emerging-technology-cset,Center for Security and Emerging Technology (CSET),https://cset.georgetown.edu,think-tank,US,Washington DC,North America,2019,51-200,philanthropic,Policy research on AI and emerging technology security,policy-domestic;compute-governance,"Georgetown-based think tank producing data-driven analysis on AI's national security implications, including compute and talent.",Compute and export-control policy analysis,active,high,https://cset.georgetown.edu,nonprofit,hiring;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
center-on-long-term-risk-clr,Center on Long-Term Risk (CLR),https://longtermrisk.org,nonprofit-research,UK,London,UK,2013,6-20,philanthropic,Reduces risks of astronomical suffering from AI conflict,multi-agent-cooperation;alignment,"Researches how to reduce risks of severe, large-scale suffering arising from conflict between powerful AI systems (s-risks).",S-risk research agenda; CLR Fellowship,active,high,https://longtermrisk.org,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
centre-for-assuring-autonomy-york,Centre for Assuring Autonomy (University of York),https://www.york.ac.uk/assuring-autonomy/,academic,UK,York,UK,unknown,unknown,mixed,Safety assurance of autonomous systems and machine learning,safety-engineering;assurance,"Publishes AMLAS, guidance on the assurance of machine learning in autonomous systems, and related safety-case methods used in safety-critical industries.",AMLAS,active,medium,https://www.york.ac.uk/assuring-autonomy/guidance/amlas/,academic,publishes-open-problems,v2-build,,v2-build-2026-09-24,,2026-09-24,false
centre-for-long-term-resilience-cltr,Centre for Long-Term Resilience (CLTR),https://longtermresilience.org,think-tank,UK,London,UK,2020,6-20,philanthropic,UK-focused catastrophic risk policy including AI,policy-domestic;biosecurity,"UK think tank advising government on reducing risks from extreme technological and biological threats, including AI.",UK government risk assessment advisory work,active,high,https://longtermresilience.org,nonprofit,hiring;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
centre-for-the-governance-of-ai-govai,Centre for the Governance of AI (GovAI),https://governance.ai,nonprofit-research,UK,Oxford,UK,2018,21-50,philanthropic,Research and field-building on AI governance,policy-international;field-building,Independent nonprofit producing research on how to govern advanced AI and training the next generation of AI governance researchers.,Survey of AI governance researchers; GovAI Fellowship,active,high,https://governance.ai,nonprofit,hiring;fellowship-or-programme;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
centre-for-the-study-of-existential-risk-cser,Centre for the Study of Existential Risk (CSER),https://cser.ac.uk,academic,UK,Cambridge,UK,2012,21-50,mixed,Interdisciplinary existential risk research including AI,forecasting;policy-international,"Cambridge centre studying extreme risks to humanity, with a substantial programme on risks from advanced AI.",Existential risk research papers; policy briefings,active,high,https://cser.ac.uk,academic,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
centre-pour-la-securite-de-l-ia-cesia,Centre pour la Securite de l'IA (CeSIA),https://securite-ia.fr,field-building,France,Paris,Europe,2023,1-5,philanthropic,French AI safety field-building and policy engagement,field-building;policy-domestic,French nonprofit building the local AI safety research community and engaging with French and EU policymakers on AI risk.,Iliad fellowship support; French-language AI safety courses,active,high,https://securite-ia.fr,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
cepi,CEPI,https://cepi.net,government,Norway,Oslo,Other,2017,unknown,government,"Pandemic vaccine preparedness, including AI-driven acceleration and biosecurity-by-design",biosecurity;ai-for-vaccine-design,"Coalition for Epidemic Preparedness Innovations; building an AI 'Pandemic Preparedness Engine' to accelerate vaccine and countermeasure design under its 100 Days Mission, paired with a biosecurity-by-design partnership with the University of Washington Institute for Protein Design.",Pandemic Preparedness Engine; biosecurity-by-design principles for protein design (with UW IPD),active,high,"['https://cepi.net/artificial-intelligence', 'https://cepi.net/building-global-ai-platform-pandemic-preparedness']",government,publishes-open-problems,new_org:b05,,agent-2026-09-21,,2026-09-21,false
cetas-the-alan-turing-institute,"CETaS, The Alan Turing Institute",https://cetas.turing.ac.uk,think-tank,UK,unknown,UK,unknown,unknown,unknown,,,"Published a full report on AI-enabled influence operations and election safeguarding, with UK parliamentary evidence submissions.",,active,medium,https://cetas.turing.ac.uk/publications/ai-enabled-influence-operations-safeguarding-future-elections,nonprofit,contact-form,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
china-ai-safety-and-development-association-cnaisda,China AI Safety and Development Association (CnAISDA),https://cnaisi.cn,nonprofit,China,Beijing,Asia,2024,unknown,mixed,Chinese domestic AI safety and development coordination,policy-domestic,"Association coordinating Chinese industry and research views on AI safety and development, engaging with domestic policy processes.",unknown,unknown,low,https://aisafety.com/map,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
cisa-ai-security-work,CISA (AI security work),https://cisa.gov,government,US,Washington DC,North America,2018,200+,government,Critical infrastructure cybersecurity guidance covering AI,critical-infrastructure;ai-cyber-offence-defence;standards,US critical-infrastructure cybersecurity agency that issues guidance on securing AI systems used in critical sectors.,Joint guidance on AI system security,active,high,https://cisa.gov,government,closed,seed,,agent-2026-09-21,,2026-09-21,false
cisco-talos,Cisco Talos,https://blog.talosintelligence.com,for-profit-startup,US,unknown,North America,unknown,unknown,unknown,,,"Cisco's threat-intelligence team publishes ongoing research on criminal abuse of LLMs, including uncensored model marketplaces.",,active,medium,https://blog.talosintelligence.com/cybercriminal-abuse-of-large-language-models/,commercial-product,unknown,tag-only:b04,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
citizen-lab,Citizen Lab,https://citizenlab.ca,academic,Canada,unknown,North America,unknown,unknown,unknown,,,"Investigates state surveillance and spyware targeting dissidents, journalists and diaspora communities, including AI-enabled cases.",,active,medium,https://citizenlab.ca/research/,academic,fellowship-or-programme,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
civai,CivAI,https://civai.org,nonprofit,unknown,unknown,unknown,unknown,unknown,unknown,,,"Builds live demonstrations of AI-enabled cyber attacks, deepfakes and other capabilities and shows them to state and federal lawmakers.",,active,low,https://civai.org/cyber-demos; https://civai.org/about,nonprofit,unknown,review-2026-09-23:meta,"Created from a review edit (meta[42], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
claroty,Claroty,https://claroty.com,for-profit-startup,unknown,unknown,unknown,unknown,unknown,unknown,,,OT security vendor publishing AI-specific threat analysis through its Team82 research group.,,active,low,https://claroty.com/team82,commercial-product,unknown,review-2026-09-23:misuse,"Created from a review edit (misuse[42], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
coefficient-giving-formerly-open-philanthropy,Coefficient Giving (formerly Open Philanthropy),https://coefficientgiving.org,funder,US,San Francisco,North America,2017,200+,philanthropic,"Major philanthropic funder of AI safety, security and governance",funding,"Large philanthropic grantmaker whose AI programme funds technical safety, governance, security and biosecurity work across many organisations.",Hundreds of millions in AI safety and biosecurity grants,active,high,https://coefficientgiving.org,nonprofit,contact-form,seed,,agent-2026-09-21,,2026-09-21,false
cohere-secure-ai-frontier-model-framework,Cohere (Secure AI Frontier Model Framework),https://cohere.com/security,lab-safety-team,Canada,Toronto,North America,2019,200+,commercial,Frontier-model security and safety framework,frontier-safety-frameworks;evals,"Publishes the ""Secure AI Frontier Model Framework"" setting out Cohere’s approach to frontier-model risk assessment and mitigation, plus a public Secure AI blog series.",Cohere Secure AI Frontier Model Framework (Feb 2025),active,medium,https://cohere.com/security/the-cohere-secure-ai-frontier-model-framework-february-2025.pdf; https://cohere.com/blog/secure-model-framework,commercial-product,unknown,seed,,agent-2026-09-21,,2026-09-21,false
common-sense-media,Common Sense Media,https://www.commonsensemedia.org,nonprofit,unknown,unknown,unknown,unknown,unknown,unknown,,,Publishes risk assessments of AI companions for minors and backs state companion-chatbot legislation.,,active,low,https://www.commonsensemedia.org/ai-ratings,nonprofit,unknown,review-2026-09-23:society,"Created from a review edit (society[91], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
community-notes-x-corp,Community Notes (X Corp),https://communitynotes.x.com,for-profit-startup,US,San Francisco,North America,2021,unknown,commercial,"Crowd-sourced, algorithmically-bridged annotation of potentially misleading posts, now with AI-generated notes",epistemics,"X's open-source annotation programme in which contributors from different perspectives write and rate notes on posts; a bridging algorithm surfaces notes that people who normally disagree find helpful. Independent academic studies find it reduces engagement with false information, and X has begun testing AI-generated notes.","Open-source bridging algorithm and dataset; peer-reviewed studies of its effects (PNAS 2025, UW 2025)",active,medium,https://communitynotes.x.com/guide/en/about/introduction; https://www.pnas.org/doi/10.1073/pnas.2503413122; https://www.washington.edu/news/2025/09/18/community-notes-x-false-information-viral/,commercial-product,unknown,new_org:b07,,agent-2026-09-21,,2026-09-21,false
concordia-ai,Concordia AI,https://concordia-ai.com,nonprofit-research,China,Beijing,Asia,2023,6-20,philanthropic,Bridges Chinese and international AI safety governance,policy-international;field-building,Beijing-based nonprofit that researches and translates Chinese AI safety and governance developments for international audiences and vice versa.,"State of AI Safety in China annual report, convenings",active,high,https://concordia-ai.com,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
conjecture,Conjecture,https://conjecture.dev,for-profit-startup,UK,London,UK,2022,21-50,commercial,Alignment-focused AI research and cognitive emulation,alignment;interpretability,For-profit research lab pursuing alignment-focused approaches including cognitive emulation as an alternative to scaling opaque models.,Cognitive emulation research agenda,active,medium,https://conjecture.dev,commercial-product,unknown,seed,,agent-2026-09-21,,2026-09-21,false
constellation,Constellation,https://constellation.org,field-building,US,Berkeley,North America,2022,6-20,philanthropic,Co-locates AI safety researchers in a shared research hub,field-building,Research hub co-locating technical AI safety researchers from multiple organisations to accelerate collaboration and mentorship.,Visiting fellows programme; shared research space,active,high,https://constellation.org,nonprofit,hiring;fellowship-or-programme,seed,"Includes the Astra Fellowship, Constellation Incubator and the Generator Residency (the last run jointly with Kairos), which batches tagged separately.",agent-2026-09-21,,2026-09-21,false
controlai,ControlAI,https://controlai.com,advocacy,UK,London,UK,2023,6-20,philanthropic,Advocacy for binding international AI safety regulation,comms-advocacy;policy-international,Advocacy organisation campaigning for binding international agreements to prevent loss of control of superintelligent AI.,Direct policymaker engagement and campaign materials,active,high,https://controlai.com,nonprofit,publishes-open-problems;contact-form,seed,,agent-2026-09-21,,2026-09-21,false
convergence-analysis,Convergence Analysis,https://convergenceanalysis.org,nonprofit-research,Canada,unknown,North America,2018,6-20,philanthropic,AI existential risk strategy research,forecasting;policy-international,Research organisation mapping strategic scenarios and interventions to reduce existential risk from advanced AI.,Scenario planning and strategy research reports,active,medium,https://convergenceanalysis.org,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
cooperative-ai-foundation,Cooperative AI Foundation,https://cooperativeai.com,funder,UK,London,UK,2020,6-20,philanthropic,Funds and coordinates research on cooperative and multi-agent AI safety,multi-agent-cooperation;funding,Funds and coordinates research into ensuring AI systems interacting with each other and with humans behave cooperatively rather than adversarially.,Cooperative AI research grants and workshops,active,high,https://cooperativeai.com,nonprofit,contact-form,seed,,agent-2026-09-21,,2026-09-21,false
council-on-foreign-relations-cfr,Council on Foreign Relations (CFR),https://cfr.org,think-tank,US,New York,North America,1921,200+,mixed,Foreign policy think tank covering AI geopolitics,policy-international,Foreign policy think tank analysing how AI affects great-power competition and international order.,AI and geopolitics analysis,active,high,https://cfr.org,nonprofit,hiring;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
csis-wadhwani-ai-center,CSIS Wadhwani AI Center,https://www.csis.org,think-tank,US,unknown,North America,unknown,unknown,unknown,,,"Gregory Allen's CSIS work on AI chip export controls, from 'Choking Off China's Access to the Future of AI' (2022) onwards, is among the most cited analysis of the controls.",,active,low,https://www.csis.org/analysis/choking-chinas-access-future-ai,nonprofit,unknown,review-2026-09-23:society,"Created from a review edit (society[46], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
cyberhaven,Cyberhaven,https://cyberhaven.com,for-profit-startup,US,Palo Alto,North America,2014,200+,commercial,Data security including AI/LLM data-leak prevention,model-security,General data-loss-prevention company that has extended its lineage-tracking approach to cover data leakage through AI tools.,AI data protection module,active,medium,https://cyberhaven.com,commercial-product,hiring,seed,,agent-2026-09-21,,2026-09-21,false
dair-institute,DAIR Institute,https://dair-institute.org,nonprofit-research,US,unknown,North America,2021,1-5,philanthropic,"Independent, community-rooted research on harms of deployed AI systems",fairness-bias;field-building,"Distributed AI research institute investigating and documenting harms of current AI systems, centring communities affected by AI, including data work, robustness testing and low-resource-setting AI.",Research on labour and low-resource AI; Mystery AI Hype Theater 3000 podcast,active,medium,https://dair-institute.org/,nonprofit,publishes-open-problems;contact-form,new_org:b09,,agent-2026-09-21,,2026-09-21,false
darpa,Defense Advanced Research Projects Agency (DARPA),https://aicyberchallenge.com,government,US,unknown,North America,unknown,unknown,unknown,,,"Ran the AI Cyber Challenge (final at DEF CON, August 2025), the main public demonstration of autonomous find-and-patch systems, and required finalists to open-source them.",,active,low,https://aicyberchallenge.com/,government,unknown,review-2026-09-23:misuse,"Created from a review edit (misuse[14], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking. URL is the AI Cyber Challenge programme site given in the review; the agency homepage was not recorded.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
dfrlab-atlantic-council,DFRLab (Atlantic Council),https://dfrlab.org,think-tank,US,unknown,North America,unknown,unknown,unknown,,,"Digital Forensic Research Lab investigates and publishes on disinformation and influence campaigns, including AI-generated cases.",,active,medium,https://dfrlab.org/research/,nonprofit,open-to-collaborators,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
doom-debates,Doom Debates,https://lironshapira.substack.com,individual-led-project,US,unknown,North America,2024,1-5,philanthropic,Podcast/YouTube show debating AI extinction risk with researchers and sceptics,comms-advocacy,"Liron Shapira's show interviewing and debating researchers, sceptics and public figures on AI extinction risk, reaching a tech-adjacent general audience.","Weekly episodes; over 20,000 YouTube watch-hours and 10,000 podcast downloads per month",active,medium,https://lironshapira.substack.com/p/support-doom-debates,nonprofit,unknown,new_org:b11,,agent-2026-09-21,,2026-09-21,false
dovetail-research,Dovetail Research,https://dovetailresearch.org,field-building,UK,unknown,UK,2023,1-5,philanthropic,Alignment research fellowship and small research group,alignment;field-building,Runs a small alignment research fellowship alongside its own research; limited independently verifiable detail available.,Dovetail Research Fellowship,active,high,https://dovetailresearch.org/; https://www.lesswrong.com/posts/ApfjBbqzSu4aZoLSe/report-and-retrospective-on-the-dovetail-fellowship,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
dragos,Dragos,https://www.dragos.com,for-profit-startup,US,Hanover,North America,2016,200+,commercial,Industrial control system (OT/ICS) cybersecurity platform and threat intelligence,critical-infrastructure;ai-cyber-offence-defence,OT/ICS security vendor now publishing AI-specific threat-landscape analysis and shipping an AI-assisted analyst tool (EmberAI) for industrial security teams.,Dragos EmberAI; AI OT threat landscape blog series (2026),active,medium,https://www.dragos.com/blog/ai-ot-threat-landscape; https://www.dragos.com/blog/introducing-dragos-emberai,commercial-product,hiring,new_org:b04,,agent-2026-09-21,,2026-09-21,false
dreadnode,Dreadnode,https://dreadnode.io,for-profit-startup,US,Boston,North America,2023,6-20,commercial,Offensive security infrastructure for AI systems,ai-cyber-offence-defence;red-teaming;agent-security,"Provides infrastructure and agents for offensive security testing of AI systems, drawing on the founders' cyber-competition background.",Strike offensive AI security platform,active,high,https://dreadnode.io,commercial-product,unknown,seed,,agent-2026-09-21,,2026-09-21,false
ea-infrastructure-fund-eaif,EA Infrastructure Fund (EAIF),https://effectivealtruismfunds.org,funder,UK,London,UK,2017,1-5,philanthropic,Funds infrastructure for the effective altruism and AI safety community,funding,"Grantmaking fund supporting infrastructure and field-building for the effective altruism community, including AI safety projects.",Grants to field-building and community infrastructure,active,high,https://effectivealtruismfunds.org,nonprofit,contact-form,seed,,agent-2026-09-21,,2026-09-21,false
easa,European Union Aviation Safety Agency (EASA),https://www.easa.europa.eu,government,Germany,Cologne,Europe,unknown,unknown,government,"Aviation safety regulation, including certification guidance for machine learning",safety-engineering;assurance,Publishes an AI roadmap and concept papers setting out how machine-learning applications in aviation can be assured and certified.,Artificial Intelligence Concept Paper Issue 2,active,medium,https://www.easa.europa.eu/en/document-library/general-publications/easa-artificial-intelligence-concept-paper-issue-2,government,unknown,v2-build,,v2-build-2026-09-24,,2026-09-24,false
effective-institutions-project,Effective Institutions Project,https://effectiveinstitutionsproject.org,nonprofit-research,US,"Tarrytown, NY",North America,2020,1-5,philanthropic,Improves institutional decision-making capacity for catastrophic risks,policy-domestic;forecasting,"Works to improve the capacity of pivotal institutions to make good decisions under uncertainty, including on AI risk.",Institutional capacity research and advising,active,medium,https://effectiveinstitutionsproject.org,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
effective-thesis,Effective Thesis,https://effectivethesis.org,field-building,Other,Prague,Europe,2018,1-5,philanthropic,Connects students' theses to high-impact research areas,field-building,"Helps students choose and complete theses on high-impact topics, including AI safety, connecting them with relevant supervisors.",Thesis topic database and advising,active,medium,https://effectivethesis.org,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
electronic-frontier-foundation-eff,Electronic Frontier Foundation (EFF),https://www.eff.org,advocacy,US,unknown,North America,unknown,unknown,unknown,,,Maintains policy and legal analysis on AI-generated NCII and deepfakes.,,active,medium,https://www.eff.org/pages/ai-and-nciideepfakes,nonprofit,open-to-collaborators,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
eleos-ai-research,Eleos AI Research,https://eleosai.org,nonprofit-research,US,Berkeley,North America,2024,1-5,philanthropic,Research on the moral status and welfare of AI systems,ai-welfare,"Researches whether and how AI systems might have morally relevant experiences, and what that implies for how they should be treated.",Research reports on AI welfare and moral status,active,medium,https://eleosai.org,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
eleutherai,EleutherAI,https://eleuther.ai,nonprofit-research,US,Remote (distributed),North America,2020,21-50,philanthropic,"Open research on LLMs, interpretability and alignment",interpretability;open-weights-risk,Open research collective building open-source language models and studying their interpretability and alignment properties.,"Pythia model suite, open interpretability research",active,high,https://eleuther.ai,nonprofit,open-to-collaborators;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
elicit,Elicit,https://elicit.com,for-profit-startup,US,San Francisco,North America,2023,21-50,commercial,AI research assistant emphasising process transparency,epistemics,"Builds an AI research assistant designed to make its reasoning steps transparent and checkable, informed by alignment research on process supervision.",Elicit research assistant product,active,medium,https://elicit.com,commercial-product,unknown,seed,,agent-2026-09-21,,2026-09-21,false
encode,Encode,https://encodeai.org,advocacy,US,San Francisco,North America,2020,6-20,philanthropic,Youth-led AI policy advocacy,comms-advocacy;policy-domestic,"Youth-led organisation advocating for AI regulation, including amicus briefs and campaigns on frontier AI safety legislation.",Amicus briefs and legislative advocacy campaigns,active,high,https://encode.org,nonprofit,publishes-open-problems;contact-form,seed,"URL corrected to encodeai.org; encode.org now belongs to an unrelated company (b08, b11).",agent-2026-09-21,,2026-09-21,false
enisa,ENISA,https://enisa.europa.eu,government,Other,Athens,Europe,2004,200+,government,EU cybersecurity agency's AI security workstream,standards;critical-infrastructure,EU agency developing cybersecurity guidance and threat landscapes specifically for AI systems.,AI threat landscape reports,active,high,https://enisa.europa.eu,government,closed,seed,,agent-2026-09-21,,2026-09-21,false
epoch-ai,Epoch AI,https://epoch.ai,nonprofit-research,US,San Francisco,North America,2022,6-20,philanthropic,Tracks and forecasts AI capability and compute trends,forecasting;compute-governance,"Produces rigorous data and forecasts on AI training compute, capability trends and their implications for timelines and risk.","Compute trends database, benchmark reports (e.g. FrontierMath)",active,high,https://epochai.org,nonprofit,hiring;publishes-open-problems,seed,URL corrected to epoch.ai; epochai.org redirects there (b08).,agent-2026-09-21,,2026-09-21,false
estdev,Estonian Centre for International Development (ESTDEV),https://www.estdev.ee,government,Estonia,unknown,Europe,unknown,unknown,unknown,,,"Estonian Centre for International Development runs a GIZ-funded programme (2025 to 2027) training officials and critical-infrastructure operators in Moldova, Ukraine, Albania, Armenia, Serbia and Montenegro on AI-enabled cyber threats.",,active,low,https://www.estdev.ee/en/projects/capacity-building-cybersecurity-and-artificial-intelligence,government,unknown,review-2026-09-23:misuse,"Created from a review edit (misuse[56], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
eu-disinfolab,EU DisinfoLab,https://www.disinfo.eu,nonprofit,Belgium,unknown,Europe,unknown,unknown,unknown,,,Maintains a dedicated hub tracking AI's role in European disinformation campaigns.,,active,medium,https://www.disinfo.eu/ai-disinfo-hub/,nonprofit,contact-form,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
european-ai-office,European AI Office,https://digital-strategy.ec.europa.eu/en/policies/ai-office,government,Belgium,Brussels,Europe,2024,51-200,government,Enforces the EU AI Act and coordinates EU AI governance,policy-international;standards;frontier-safety-frameworks,"Body within the European Commission that enforces the EU AI Act (especially obligations on general-purpose AI models), runs testing/evaluation sandboxes and represents the EU in international AI governance coordination; over 125 staff across six units.",EU AI Act enforcement and guidance for general-purpose AI models,active,high,https://digital-strategy.ec.europa.eu/en/policies/ai-office; https://oecd.ai/en/dashboards/policy-initiatives/eu-ai-office,government,closed,seed,,agent-2026-09-21,,2026-09-21,false
european-network-for-ai-safety-enais,European Network for AI Safety (ENAIS),https://enais.co,field-building,Other,Europe (distributed),Europe,2022,1-5,philanthropic,Connects the European AI safety community,field-building,"Network connecting AI safety researchers, students and organisations across Europe through events and information sharing.",European AI safety community events and newsletter,active,medium,https://enais.co,nonprofit,fellowship-or-programme,seed,,agent-2026-09-21,,2026-09-21,false
europol,Europol,https://www.europol.europa.eu,government,Netherlands,unknown,Europe,unknown,unknown,unknown,,,"Published 'Facing Reality', a report specifically on law enforcement's challenge from deepfake technology in fraud and organised crime.",,active,medium,https://www.europol.europa.eu/cms/sites/default/files/documents/Europol_Innovation_Lab_Facing_Reality_Law_Enforcement_And_The_Challenge_Of_Deepfakes.pdf,government,contact-form,tag-only:b06,"minimal record built from a batch tag; the batch supplied no new_org row Includes the Europol Innovation Lab, tagged separately by b06.",agent-2026-09-21,,2026-09-21,false
existential-risk-observatory-ero,Existential Risk Observatory (ERO),https://existentialriskobservatory.org,advocacy,Netherlands,Amsterdam,Europe,2021,1-5,philanthropic,Media and public communication on existential AI risk,comms-advocacy,Media-focused nonprofit working with journalists to improve the quality and volume of public reporting on existential AI risk.,Media training and journalist outreach on AI risk,active,medium,https://existentialriskobservatory.org,nonprofit,publishes-open-problems;contact-form,seed,,agent-2026-09-21,,2026-09-21,false
fair-trials,Fair Trials,https://www.fairtrials.org,advocacy,UK,unknown,UK,unknown,unknown,unknown,,,Runs a dedicated campaign and interactive tool on predictive policing and criminal prediction systems in Europe.,,active,medium,https://www.fairtrials.org/predictive-policing/,nonprofit,contact-form,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
far-ai,FAR AI,https://far.ai,nonprofit-research,Canada,Berkeley,North America,2022,21-50,philanthropic,Incubates and conducts technical AI safety research,alignment;field-building;red-teaming,"Conducts and incubates technical AI safety research across robustness, interpretability and value alignment, and runs community events.",Robustness and safety research; FAR Labs research space,active,high,https://far.ai,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
fbi-internet-crime-complaint-center-ic3,FBI Internet Crime Complaint Center (IC3),https://www.ic3.gov,government,US,unknown,North America,unknown,unknown,unknown,,,"Issues public alerts on AI deepfake and voice-clone fraud, including on scammers impersonating IC3 itself with AI-generated videos.",,active,medium,https://www.infosecurity-magazine.com/news/fbi-deepfake-videos-ic3/,government,contact-form,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
fifty-years,Fifty Years,https://fiftyyears.com,vc,US,San Francisco,North America,2015,6-20,commercial,VC fund investing in frontier and safety-relevant tech,funding,"Venture capital fund investing in frontier technology companies, including some working on AI safety and biosecurity.",Portfolio spanning AI and biosecurity startups,active,medium,https://fiftyyears.com,commercial-services,contact-form,seed,,agent-2026-09-21,,2026-09-21,false
financial-stability-board,Financial Stability Board (FSB),https://www.fsb.org,government,unknown,unknown,unknown,unknown,unknown,unknown,,,FSB Chair's August 2026 letter to G20 finance ministers named AI-enabled cyber attacks as the most immediate threat to global financial stability and flagged governance gaps across jurisdictions.,,active,low,https://www.fsb.org/2026/08/fsb-chairs-letter-to-g20-finance-ministers-and-central-bank-governors-august-2026/,government,unknown,review-2026-09-23:misuse,"Created from a review edit (misuse[42], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
flexheg,FlexHEG,https://flexheg.com,nonprofit-research,unknown,unknown,unknown,unknown,unknown,unknown,Open-source hardware-enabled AI governance and verification mechanisms,compute-governance,"Open-source R&D community building software and hardware intended to provide verifiable, trustworthy assurance of AI systems for governance and agreement-verification purposes.",unknown (site provides mission statement only as of this pass),active,low,https://flexheg.com,nonprofit,open-to-collaborators,new_org:b08,,agent-2026-09-21,,2026-09-21,false
